Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
2438163966,MGCM6,04/13/2026 01:05:17 +01:00,04/13/2026 01:10:18 +01:00,4689.600000000,4693.600000000,1.24000,-40.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:05:00.1335150,0.2500
2438163967,MGCM6,04/13/2026 01:06:47 +01:00,04/13/2026 01:10:18 +01:00,4690.400000000,4693.600000000,1.24000,-32.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:03:30.7246870,0.2500
2438163968,MGCM6,04/13/2026 01:08:17 +01:00,04/13/2026 01:10:18 +01:00,4691.200000000,4693.600000000,1.24000,-24.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:02:00.8361050,0.2500
2438564579,MCLK6,04/13/2026 02:15:18 +01:00,04/13/2026 02:20:18 +01:00,104.310000000,104.250000000,1.04000,-6.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:04:59.7903290,0.2500
2438564580,MCLK6,04/13/2026 02:16:47 +01:00,04/13/2026 02:20:18 +01:00,104.200000000,104.250000000,1.04000,5.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:03:30.5795590,0.2500
2438564581,MCLK6,04/13/2026 02:18:17 +01:00,04/13/2026 02:20:18 +01:00,104.250000000,104.250000000,1.04000,0.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:02:00.7444820,0.2500
2438702160,M6EM6,04/13/2026 02:35:28 +01:00,04/13/2026 02:50:18 +01:00,1.171700000,1.171900000,0.52000,-2.500000000,1,Short,04/13/2026 00:00:00 -05:00,00:14:49.8803040,0.2500
2438702161,M6EM6,04/13/2026 02:36:51 +01:00,04/13/2026 02:50:18 +01:00,1.171700000,1.171900000,0.52000,-2.500000000,1,Short,04/13/2026 00:00:00 -05:00,00:13:26.6053810,0.2500
2438702162,M6EM6,04/13/2026 02:38:22 +01:00,04/13/2026 02:50:18 +01:00,1.171600000,1.171900000,0.52000,-3.750000000,1,Short,04/13/2026 00:00:00 -05:00,00:11:56.0096500,0.2500
2439194195,MCLK6,04/13/2026 02:45:17 +01:00,04/13/2026 05:35:19 +01:00,104.350000000,104.710000000,1.04000,36.000000000,1,Long,04/13/2026 00:00:00 -05:00,02:50:01.3605970,0.2500
2439194196,MCLK6,04/13/2026 02:46:47 +01:00,04/13/2026 05:35:19 +01:00,104.460000000,104.710000000,1.04000,25.000000000,1,Long,04/13/2026 00:00:00 -05:00,02:48:31.3097940,0.2500
2439194197,MCLK6,04/13/2026 02:48:17 +01:00,04/13/2026 05:35:19 +01:00,104.400000000,104.710000000,1.04000,31.000000000,1,Long,04/13/2026 00:00:00 -05:00,02:47:01.3735040,0.2500
2438918767,MGCM6,04/13/2026 03:15:17 +01:00,04/13/2026 03:50:18 +01:00,4745.300000000,4734.500000000,1.24000,-108.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:35:01.0009630,0.2500
2438918768,MGCM6,04/13/2026 03:16:47 +01:00,04/13/2026 03:50:18 +01:00,4743.100000000,4734.500000000,1.24000,-86.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:33:30.8442690,0.2500
2438918770,MGCM6,04/13/2026 03:18:17 +01:00,04/13/2026 03:50:18 +01:00,4743.200000000,4734.500000000,1.24000,-87.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:32:00.8789190,0.2500
2438980797,MGCM6,04/13/2026 03:55:18 +01:00,04/13/2026 04:10:18 +01:00,4741.400000000,4736.000000000,1.24000,-54.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:15:00.0711270,0.2500
2438980798,MGCM6,04/13/2026 03:56:47 +01:00,04/13/2026 04:10:18 +01:00,4741.800000000,4736.000000000,1.24000,-58.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:13:31.0531870,0.2500
2438980799,MGCM6,04/13/2026 03:58:17 +01:00,04/13/2026 04:10:18 +01:00,4742.000000000,4736.000000000,1.24000,-60.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:12:01.0798080,0.2500
2439120377,MGCM6,04/13/2026 04:25:18 +01:00,04/13/2026 05:05:18 +01:00,4738.400000000,4736.700000000,1.24000,-17.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:40:00.3253850,0.2500
2439120378,MGCM6,04/13/2026 04:26:47 +01:00,04/13/2026 05:05:18 +01:00,4741.000000000,4736.700000000,1.24000,-43.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:38:30.8452150,0.2500
2439120380,MGCM6,04/13/2026 04:28:17 +01:00,04/13/2026 05:05:18 +01:00,4742.000000000,4736.700000000,1.24000,-53.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:37:00.8738480,0.2500
2439295597,MGCM6,04/13/2026 05:45:18 +01:00,04/13/2026 06:20:18 +01:00,4739.500000000,4738.800000000,1.24000,-7.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:35:00.3622630,0.2500
2439295598,MGCM6,04/13/2026 05:46:47 +01:00,04/13/2026 06:20:18 +01:00,4739.500000000,4738.800000000,1.24000,-7.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:33:30.8413230,0.2500
2439295599,MGCM6,04/13/2026 05:48:17 +01:00,04/13/2026 06:20:18 +01:00,4738.800000000,4738.800000000,1.24000,0.000000000,1,Long,04/13/2026 00:00:00 -05:00,00:32:00.8930100,0.2500
2439349322,MBTJ6,04/13/2026 06:25:18 +01:00,04/13/2026 06:46:53 +01:00,70955.000000000,71045.000000000,2.34000,-9.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:21:34.7207650,0.2500
2439349324,MBTJ6,04/13/2026 06:26:47 +01:00,04/13/2026 06:46:53 +01:00,70950.000000000,71045.000000000,2.34000,-9.500000000,1,Short,04/13/2026 00:00:00 -05:00,00:20:05.5587130,0.2500
2439349326,MBTJ6,04/13/2026 06:28:21 +01:00,04/13/2026 06:46:53 +01:00,70995.000000000,71045.000000000,2.34000,-5.000000000,1,Short,04/13/2026 00:00:00 -05:00,00:18:31.4655830,0.2500
