Id,AccountName,ContractName,Status,Type,Size,Side,CreatedAt,TradeDay,FilledAt,CancelledAt,StopPrice,LimitPrice,ExecutePrice,PositionDisposition,CreationDisposition,RejectionReason,ExchangeOrderId,PlatformOrderId
2805792974,PRAC-V2-315185-26809886,M6EM6,Cancelled,Stop,1,Bid,04/13/2026 00:13:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:43 +01:00,1.172900000,,,Undetermined,Trader,Cancelled by trader,,
2805792976,PRAC-V2-315185-26809886,M6EM6,Cancelled,Limit,1,Bid,04/13/2026 00:13:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:43 +01:00,,1.165400000,,Undetermined,Trader,Cancelled by trader,,
2805787423,PRAC-V2-315185-26809886,M6EM6,Cancelled,Limit,1,Bid,04/13/2026 00:12:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:43 +01:00,,1.165400000,,Undetermined,Trader,Cancelled by trader,,
2805792972,PRAC-V2-315185-26809886,MCLK6,Cancelled,Limit,1,Ask,04/13/2026 00:13:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:13 +01:00,,105.460000000,,Undetermined,Trader,Cancelled by trader,,
2805809235,PRAC-V2-315185-26809886,MCLK6,Filled,Market,3,Ask,04/13/2026 00:17:13 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:17:13 +01:00,,,,105.090000000,Closing,ClosePosition,,,
2805810087,PRAC-V2-315185-26809886,MGCM6,Filled,Market,3,Bid,04/13/2026 00:17:21 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:17:21 +01:00,,,,4673.600000000,Closing,ClosePosition,,,
2805812242,PRAC-V2-315185-26809886,M6EM6,Filled,Market,3,Bid,04/13/2026 00:17:44 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:17:44 +01:00,,,,1.170300000,Closing,ClosePosition,,,
2805811093,PRAC-V2-315185-26809886,MBTJ6,Filled,Market,3,Bid,04/13/2026 00:17:32 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:17:32 +01:00,,,,70720.000000000,Closing,ClosePosition,,,
2805824846,PRAC-V2-315185-26809886,MCLK6,Filled,Market,1,Bid,04/13/2026 00:19:47 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:19:47 +01:00,,,,105.070000000,Opening,Trader,,,
2805824848,PRAC-V2-315185-26809886,MCLK6,Cancelled,Limit,1,Ask,04/13/2026 00:19:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:54:30 +01:00,,106.130000000,,Undetermined,Trader,OCO Cancelled,,
2805827763,PRAC-V2-315185-26809886,MGCM6,Filled,Market,1,Ask,04/13/2026 00:20:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:20:17 +01:00,,,,4670.500000000,Opening,Trader,,,
2805827815,PRAC-V2-315185-26809886,M6EM6,Cancelled,Stop,1,Bid,04/13/2026 00:20:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:10:17 +01:00,1.172400000,,,Undetermined,Trader,Cancelled by trader,,
2805827816,PRAC-V2-315185-26809886,M6EM6,Cancelled,Limit,1,Bid,04/13/2026 00:20:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:10:17 +01:00,,1.164900000,,Undetermined,Trader,Cancelled by trader,,
2805827768,PRAC-V2-315185-26809886,MBTJ6,Filled,Market,1,Ask,04/13/2026 00:20:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:20:17 +01:00,,,,70755.000000000,Opening,Trader,,,
2805827814,PRAC-V2-315185-26809886,M6EM6,Filled,Market,1,Ask,04/13/2026 00:20:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:20:17 +01:00,,,,1.170100000,Opening,Trader,,,
2805827770,PRAC-V2-315185-26809886,MBTJ6,Cancelled,Limit,1,Bid,04/13/2026 00:20:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:25:17 +01:00,,70410.000000000,,Undetermined,Trader,Cancelled by trader,,
2805827764,PRAC-V2-315185-26809886,MGCM6,Cancelled,Stop,1,Bid,04/13/2026 00:20:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:21:12 +01:00,4701.200000000,,,Undetermined,Trader,OCO Cancelled,,
2805827769,PRAC-V2-315185-26809886,MBTJ6,Cancelled,Stop,1,Bid,04/13/2026 00:20:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:25:17 +01:00,71250.000000000,,,Undetermined,Trader,Cancelled by trader,,
2805833496,PRAC-V2-315185-26809886,MCLK6,Filled,Market,1,Bid,04/13/2026 00:21:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:21:17 +01:00,,,,105.300000000,Opening,Trader,,,
2805833498,PRAC-V2-315185-26809886,MCLK6,Filled,Stop,1,Ask,04/13/2026 00:21:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 01:54:30 +01:00,,104.120000000,,104.140000000,Closing,Trader,,,
2805827765,PRAC-V2-315185-26809886,MGCM6,Filled,Limit,1,Bid,04/13/2026 00:20:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:21:12 +01:00,,,4667.300000000,4667.300000000,Closing,Trader,,,
2805833499,PRAC-V2-315185-26809886,MCLK6,Cancelled,Limit,1,Ask,04/13/2026 00:21:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:54:30 +01:00,,106.130000000,,Undetermined,Trader,OCO Cancelled,,
2805836576,PRAC-V2-315185-26809886,MGCM6,Filled,Market,1,Ask,04/13/2026 00:21:47 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:21:47 +01:00,,,,4666.200000000,Opening,Trader,,,
